Nomor,Lambda,Abs 1,Trans 1,Abs 2,Trans 2,Abs 3,Trans 3
270,531.0,0.049,0.8933054837332952,0.027,0.9397233105646379,0.06,0.8709635899560807
271,530.0,0.048,0.8953647655495938,0.026,0.9418895965228413,0.058,0.8749837752274361
272,529.0,0.047,0.8974287945007484,0.025,0.9440608762859234,0.057,0.8770008211436348
273,528.0,0.046,0.8994975815300352,0.024,0.9462371613657931,0.056,0.8790225168308843
274,527.0,0.045,0.9015711376059569,0.023,0.9484184633008972,0.055,0.881048873008014
275,526.0,0.044,0.9036494737223014,0.023,0.9484184633008972,0.054,0.8830799004185628
276,525.0,0.044,0.9036494737223014,0.022,0.9506047936562815,0.053,0.8851156098308355
277,524.0,0.042,0.9078205301781858,0.022,0.9506047936562815,0.052,0.8871560120379609
278,523.0,0.042,0.9078205301781858,0.021,0.9527961640236519,0.051,0.8892011178579484
279,522.0,0.041,0.9099132726322515,0.02,0.954992586021436,0.05,0.8912509381337456
280,521.0,0.041,0.9099132726322515,0.02,0.954992586021436,0.05,0.8912509381337456
281,520.0,0.04,0.9120108393559098,0.02,0.954992586021436,0.049,0.8933054837332952
282,519.0,0.04,0.9120108393559098,0.02,0.954992586021436,0.049,0.8933054837332952
283,518.0,0.039,0.9141132414702502,0.019,0.9571940712948445,0.048,0.8953647655495938
284,517.0,0.039,0.9141132414702502,0.019,0.9571940712948445,0.048,0.8953647655495938
285,516.0,0.038,0.9162204901219998,0.019,0.9571940712948445,0.047,0.8974287945007484
286,515.0,0.038,0.9162204901219998,0.019,0.9571940712948445,0.047,0.8974287945007484
287,514.0,0.038,0.9162204901219998,0.018,0.9594006315159331,0.046,0.8994975815300352
288,513.0,0.038,0.9162204901219998,0.018,0.9594006315159331,0.046,0.8994975815300352
289,512.0,0.037,0.9183325964835809,0.018,0.9594006315159331,0.046,0.8994975815300352
290,511.0,0.037,0.9183325964835809,0.018,0.9594006315159331,0.045,0.9015711376059569
291,510.0,0.037,0.9183325964835809,0.018,0.9594006315159331,0.045,0.9015711376059569
292,509.0,0.037,0.9183325964835809,0.018,0.9594006315159331,0.044,0.9036494737223014
293,508.0,0.037,0.9183325964835809,0.018,0.9594006315159331,0.044,0.9036494737223014
294,507.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.044,0.9036494737223014
295,506.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.044,0.9036494737223014
296,505.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.044,0.9036494737223014
297,504.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.044,0.9036494737223014
298,503.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.043,0.9057326008982001
299,502.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.043,0.9057326008982001
300,501.0,0.036,0.9204495717531713,0.018,0.9594006315159331,0.043,0.9057326008982001
301,500.0,0.036,0.9204495717531713,0.017,0.9616122783836647,0.043,0.9057326008982001
302,499.0,0.035,0.9225714271547631,0.017,0.9616122783836647,0.043,0.9057326008982001
303,498.0,0.035,0.9225714271547631,0.017,0.9616122783836647,0.042,0.9078205301781858
304,497.0,0.035,0.9225714271547631,0.017,0.9616122783836647,0.042,0.9078205301781858
305,496.0,0.035,0.9225714271547631,0.017,0.9616122783836647,0.042,0.9078205301781858
306,495.0,0.034,0.9246981739382225,0.016,0.9638290236239705,0.042,0.9078205301781858
307,494.0,0.034,0.9246981739382225,0.016,0.9638290236239705,0.042,0.9078205301781858
308,493.0,0.034,0.9246981739382225,0.016,0.9638290236239705,0.041,0.9099132726322515
309,492.0,0.034,0.9246981739382225,0.016,0.9638290236239705,0.041,0.9099132726322515
310,491.0,0.033,0.9268298233793493,0.016,0.9638290236239705,0.041,0.9099132726322515
